,date,club,value,squad_s
96,15/02/2011,Ihud Bnei Sakhnin,3900000,23
97,15/02/2011,Sekzia Ness Ziona,650000,4
98,15/02/2011,Maccabi Petah Tikva,5500000,22
99,15/02/2011,Bnei Yehuda Tel Aviv,6600000,22
100,15/02/2011,Hapoel Nof HaGalil,100000,3
101,15/02/2011,Hapoel Umm al-Fahm,75000,1
102,15/02/2011,Hapoel Ramat Gan,4800000,30
103,15/02/2011,Hapoel Rishon leZion,200000,1
104,15/02/2011,Hapoel Petah Tikva,3830000,25
105,15/02/2011,Ironi Tiberias,0,
106,15/02/2011,SC Kfar Qasem,0,
107,15/02/2011,Hapoel Kfar Saba,50000,6
108,15/02/2011,Hapoel Acre,5150000,22
109,15/02/2011,Hapoel Ramat haSharon,300000,2
110,15/02/2011,Agudat Sport Ashdod,0,
111,15/02/2011,Hapoel Afula,0,
112,01/03/2011,Maccabi Haifa,11450000,22
113,01/03/2011,Maccabi Tel Aviv,14650000,25
114,01/03/2011,Hapoel Beer Sheva,4200000,25
115,01/03/2011,Maccabi Netanya,4200000,22
116,01/03/2011,FC Ashdod,5400000,28
117,01/03/2011,Beitar Jerusalem,7700000,27
118,01/03/2011,Hapoel Haifa,4450000,21
119,01/03/2011,Hapoel Tel Aviv,17150000,23
120,01/03/2011,Ironi Kiryat Shmona,3900000,24
121,01/03/2011,Hapoel Jerusalem,0,
122,01/03/2011,Maccabi Bnei Reineh,0,
123,01/03/2011,Hapoel Hadera,0,
124,01/03/2011,Ihud Bnei Sakhnin,4600000,25
125,01/03/2011,Sekzia Ness Ziona,650000,4
126,01/03/2011,Maccabi Petah Tikva,5500000,24
127,01/03/2011,Bnei Yehuda Tel Aviv,6600000,22
128,01/03/2011,Hapoel Nof HaGalil,100000,3
129,01/03/2011,Hapoel Umm al-Fahm,75000,1
130,01/03/2011,Hapoel Ramat Gan,4450000,28
131,01/03/2011,Hapoel Rishon leZion,200000,1
132,01/03/2011,Hapoel Petah Tikva,3980000,28
133,01/03/2011,Ironi Tiberias,0,
134,01/03/2011,SC Kfar Qasem,0,
135,01/03/2011,Hapoel Kfar Saba,50000,6
136,01/03/2011,Hapoel Acre,4650000,21
137,01/03/2011,Hapoel Ramat haSharon,300000,2
138,01/03/2011,Agudat Sport Ashdod,0,
139,01/03/2011,Hapoel Afula,0,
140,15/03/2011,Maccabi Haifa,11450000,22
141,15/03/2011,Maccabi Tel Aviv,14650000,26
142,15/03/2011,Hapoel Beer Sheva,4200000,25
143,15/03/2011,Maccabi Netanya,4200000,22
144,15/03/2011,FC Ashdod,5400000,30
145,15/03/2011,Beitar Jerusalem,7700000,27
146,15/03/2011,Hapoel Haifa,4450000,21
147,15/03/2011,Hapoel Tel Aviv,17150000,23
148,15/03/2011,Ironi Kiryat Shmona,3750000,22
149,15/03/2011,Hapoel Jerusalem,0,
150,15/03/2011,Maccabi Bnei Reineh,0,
151,15/03/2011,Hapoel Hadera,0,
152,15/03/2011,Ihud Bnei Sakhnin,4500000,26
153,15/03/2011,Sekzia Ness Ziona,650000,4
154,15/03/2011,Maccabi Petah Tikva,5500000,24
155,15/03/2011,Bnei Yehuda Tel Aviv,6600000,22
156,15/03/2011,Hapoel Nof HaGalil,100000,3
157,15/03/2011,Hapoel Umm al-Fahm,75000,1
158,15/03/2011,Hapoel Ramat Gan,4450000,28
159,15/03/2011,Hapoel Rishon leZion,200000,1
160,15/03/2011,Hapoel Petah Tikva,3980000,28
161,15/03/2011,Ironi Tiberias,0,
162,15/03/2011,SC Kfar Qasem,0,
163,15/03/2011,Hapoel Kfar Saba,50000,6
164,15/03/2011,Hapoel Acre,5150000,23
165,15/03/2011,Hapoel Ramat haSharon,300000,2
166,15/03/2011,Agudat Sport Ashdod,0,
167,15/03/2011,Hapoel Afula,0,
168,01/04/2011,Maccabi Haifa,11450000,22
169,01/04/2011,Maccabi Tel Aviv,14650000,26
170,01/04/2011,Hapoel Beer Sheva,4400000,26
171,01/04/2011,Maccabi Netanya,4200000,22
172,01/04/2011,FC Ashdod,5400000,30
173,01/04/2011,Beitar Jerusalem,7700000,28
174,01/04/2011,Hapoel Haifa,4450000,21
175,01/04/2011,Hapoel Tel Aviv,17150000,23
176,01/04/2011,Ironi Kiryat Shmona,3750000,22
177,01/04/2011,Hapoel Jerusalem,0,
178,01/04/2011,Maccabi Bnei Reineh,0,
179,01/04/2011,Hapoel Hadera,0,
180,01/04/2011,Ihud Bnei Sakhnin,4500000,26
181,01/04/2011,Sekzia Ness Ziona,650000,4
182,01/04/2011,Maccabi Petah Tikva,5500000,24
183,01/04/2011,Bnei Yehuda Tel Aviv,6600000,22
184,01/04/2011,Hapoel Nof HaGalil,0,3
185,01/04/2011,Hapoel Umm al-Fahm,75000,1
186,01/04/2011,Hapoel Ramat Gan,4450000,28
187,01/04/2011,Hapoel Rishon leZion,200000,1
188,01/04/2011,Hapoel Petah Tikva,3980000,29
189,01/04/2011,Ironi Tiberias,0,
190,01/04/2011,SC Kfar Qasem,0,
191,01/04/2011,Hapoel Kfar Saba,50000,6
192,01/04/2011,Hapoel Acre,5150000,23
193,01/04/2011,Hapoel Ramat haSharon,300000,2
194,01/04/2011,Agudat Sport Ashdod,0,
195,01/04/2011,Hapoel Afula,0,
196,15/04/2011,Maccabi Haifa,11450000,22
197,15/04/2011,Maccabi Tel Aviv,14650000,27
198,15/04/2011,Hapoel Beer Sheva,4400000,26
199,15/04/2011,Maccabi Netanya,4200000,22
200,15/04/2011,FC Ashdod,5250000,29
201,15/04/2011,Beitar Jerusalem,7700000,28
202,15/04/2011,Hapoel Haifa,4450000,21
203,15/04/2011,Hapoel Tel Aviv,17300000,24
204,15/04/2011,Ironi Kiryat Shmona,3750000,22
205,15/04/2011,Hapoel Jerusalem,0,
206,15/04/2011,Maccabi Bnei Reineh,0,
207,15/04/2011,Hapoel Hadera,0,
208,15/04/2011,Ihud Bnei Sakhnin,4500000,26
209,15/04/2011,Sekzia Ness Ziona,650000,4
210,15/04/2011,Maccabi Petah Tikva,5530000,25
211,15/04/2011,Bnei Yehuda Tel Aviv,6600000,23
212,15/04/2011,Hapoel Nof HaGalil,0,3
213,15/04/2011,Hapoel Umm al-Fahm,75000,1
214,15/04/2011,Hapoel Ramat Gan,4450000,28
215,15/04/2011,Hapoel Rishon leZion,200000,1
216,15/04/2011,Hapoel Petah Tikva,3880000,29
217,15/04/2011,Ironi Tiberias,0,
218,15/04/2011,SC Kfar Qasem,0,
219,15/04/2011,Hapoel Kfar Saba,50000,7
220,15/04/2011,Hapoel Acre,5150000,23
221,15/04/2011,Hapoel Ramat haSharon,300000,2
222,15/04/2011,Agudat Sport Ashdod,0,
223,15/04/2011,Hapoel Afula,0,
224,01/05/2011,Maccabi Haifa,11450000,22
225,01/05/2011,Maccabi Tel Aviv,14650000,28
226,01/05/2011,Hapoel Beer Sheva,4400000,27
227,01/05/2011,Maccabi Netanya,4200000,22
228,01/05/2011,FC Ashdod,5250000,29
229,01/05/2011,Beitar Jerusalem,7700000,28
230,01/05/2011,Hapoel Haifa,4450000,21
231,01/05/2011,Hapoel Tel Aviv,17300000,24
232,01/05/2011,Ironi Kiryat Shmona,3750000,24
233,01/05/2011,Hapoel Jerusalem,0,
234,01/05/2011,Maccabi Bnei Reineh,0,
235,01/05/2011,Hapoel Hadera,0,
236,01/05/2011,Ihud Bnei Sakhnin,4500000,26
237,01/05/2011,Sekzia Ness Ziona,650000,4
238,01/05/2011,Maccabi Petah Tikva,5530000,25
239,01/05/2011,Bnei Yehuda Tel Aviv,6600000,24
240,01/05/2011,Hapoel Nof HaGalil,0,3
241,01/05/2011,Hapoel Umm al-Fahm,75000,1
242,01/05/2011,Hapoel Ramat Gan,4450000,28
243,01/05/2011,Hapoel Rishon leZion,200000,1
244,01/05/2011,Hapoel Petah Tikva,3880000,29
245,01/05/2011,Ironi Tiberias,0,
246,01/05/2011,SC Kfar Qasem,0,
247,01/05/2011,Hapoel Kfar Saba,50000,7
248,01/05/2011,Hapoel Acre,5150000,24
249,01/05/2011,Hapoel Ramat haSharon,300000,2
250,01/05/2011,Agudat Sport Ashdod,0,
251,01/05/2011,Hapoel Afula,0,
252,15/05/2011,Maccabi Haifa,11450000,22
253,15/05/2011,Maccabi Tel Aviv,14650000,28
254,15/05/2011,Hapoel Beer Sheva,4450000,32
255,15/05/2011,Maccabi Netanya,4200000,24
256,15/05/2011,FC Ashdod,5250000,29
257,15/05/2011,Beitar Jerusalem,7700000,28
258,15/05/2011,Hapoel Haifa,4450000,21
259,15/05/2011,Hapoel Tel Aviv,17300000,24
260,15/05/2011,Ironi Kiryat Shmona,3750000,24
261,15/05/2011,Hapoel Jerusalem,0,
262,15/05/2011,Maccabi Bnei Reineh,0,
263,15/05/2011,Hapoel Hadera,0,
264,15/05/2011,Ihud Bnei Sakhnin,4500000,26
265,15/05/2011,Sekzia Ness Ziona,650000,4
266,15/05/2011,Maccabi Petah Tikva,5530000,26
267,15/05/2011,Bnei Yehuda Tel Aviv,6600000,25
268,15/05/2011,Hapoel Nof HaGalil,0,3
269,15/05/2011,Hapoel Umm al-Fahm,75000,1
270,15/05/2011,Hapoel Ramat Gan,4450000,28
271,15/05/2011,Hapoel Rishon leZion,200000,1
272,15/05/2011,Hapoel Petah Tikva,3880000,29
273,15/05/2011,Ironi Tiberias,0,
274,15/05/2011,SC Kfar Qasem,0,
275,15/05/2011,Hapoel Kfar Saba,50000,7
276,15/05/2011,Hapoel Acre,5200000,25
277,15/05/2011,Hapoel Ramat haSharon,300000,2
278,15/05/2011,Agudat Sport Ashdod,0,
279,15/05/2011,Hapoel Afula,0,
280,01/06/2011,Maccabi Haifa,11450000,22
281,01/06/2011,Maccabi Tel Aviv,14650000,28
282,01/06/2011,Hapoel Beer Sheva,4450000,32
283,01/06/2011,Maccabi Netanya,4200000,24
284,01/06/2011,FC Ashdod,5250000,30
285,01/06/2011,Beitar Jerusalem,7700000,28
286,01/06/2011,Hapoel Haifa,4450000,21
287,01/06/2011,Hapoel Tel Aviv,17300000,24
288,01/06/2011,Ironi Kiryat Shmona,3750000,24
289,01/06/2011,Hapoel Jerusalem,0,
290,01/06/2011,Maccabi Bnei Reineh,0,
291,01/06/2011,Hapoel Hadera,0,
292,01/06/2011,Ihud Bnei Sakhnin,4500000,26
293,01/06/2011,Sekzia Ness Ziona,650000,4
294,01/06/2011,Maccabi Petah Tikva,5530000,26
295,01/06/2011,Bnei Yehuda Tel Aviv,6600000,25
296,01/06/2011,Hapoel Nof HaGalil,0,4
297,01/06/2011,Hapoel Umm al-Fahm,75000,1
298,01/06/2011,Hapoel Ramat Gan,4450000,28
299,01/06/2011,Hapoel Rishon leZion,200000,1
300,01/06/2011,Hapoel Petah Tikva,3880000,29
301,01/06/2011,Ironi Tiberias,0,
302,01/06/2011,SC Kfar Qasem,0,
303,01/06/2011,Hapoel Kfar Saba,50000,7
304,01/06/2011,Hapoel Acre,4700000,24
305,01/06/2011,Hapoel Ramat haSharon,300000,2
306,01/06/2011,Agudat Sport Ashdod,0,
307,01/06/2011,Hapoel Afula,0,
308,15/06/2011,Maccabi Haifa,11450000,23
309,15/06/2011,Maccabi Tel Aviv,14650000,29
310,15/06/2011,Hapoel Beer Sheva,4450000,32
311,15/06/2011,Maccabi Netanya,4200000,24
312,15/06/2011,FC Ashdod,4700000,29
313,15/06/2011,Beitar Jerusalem,7700000,28
314,15/06/2011,Hapoel Haifa,4450000,21
315,15/06/2011,Hapoel Tel Aviv,17300000,25
316,15/06/2011,Ironi Kiryat Shmona,3750000,25
317,15/06/2011,Hapoel Jerusalem,0,
318,15/06/2011,Maccabi Bnei Reineh,0,
319,15/06/2011,Hapoel Hadera,0,
320,15/06/2011,Ihud Bnei Sakhnin,4500000,26
321,15/06/2011,Sekzia Ness Ziona,650000,4
322,15/06/2011,Maccabi Petah Tikva,5530000,26
323,15/06/2011,Bnei Yehuda Tel Aviv,6600000,25
324,15/06/2011,Hapoel Nof HaGalil,0,4
325,15/06/2011,Hapoel Umm al-Fahm,75000,1
326,15/06/2011,Hapoel Ramat Gan,4450000,29
327,15/06/2011,Hapoel Rishon leZion,200000,1
328,15/06/2011,Hapoel Petah Tikva,3880000,29
329,15/06/2011,Ironi Tiberias,0,
330,15/06/2011,SC Kfar Qasem,0,
331,15/06/2011,Hapoel Kfar Saba,50000,7
332,15/06/2011,Hapoel Acre,4700000,24
333,15/06/2011,Hapoel Ramat haSharon,300000,2
334,15/06/2011,Agudat Sport Ashdod,0,
335,15/06/2011,Hapoel Afula,0,
336,01/07/2011,Maccabi Haifa,0,
337,01/07/2011,Maccabi Tel Aviv,0,
338,01/07/2011,Hapoel Beer Sheva,0,
339,01/07/2011,Maccabi Netanya,0,
340,01/07/2011,FC Ashdod,0,
341,01/07/2011,Beitar Jerusalem,0,
342,01/07/2011,Hapoel Haifa,0,
343,01/07/2011,Hapoel Tel Aviv,0,
344,01/07/2011,Ironi Kiryat Shmona,0,
345,01/07/2011,Hapoel Jerusalem,0,
346,01/07/2011,Maccabi Bnei Reineh,0,
347,01/07/2011,Hapoel Hadera,0,
348,01/07/2011,Ihud Bnei Sakhnin,0,
349,01/07/2011,Sekzia Ness Ziona,0,
350,01/07/2011,Maccabi Petah Tikva,0,
351,01/07/2011,Bnei Yehuda Tel Aviv,0,
352,01/07/2011,Hapoel Nof HaGalil,0,
353,01/07/2011,Hapoel Umm al-Fahm,0,
354,01/07/2011,Hapoel Ramat Gan,0,
355,01/07/2011,Hapoel Rishon leZion,0,
356,01/07/2011,Hapoel Petah Tikva,0,
357,01/07/2011,Ironi Tiberias,0,
358,01/07/2011,SC Kfar Qasem,0,
359,01/07/2011,Hapoel Kfar Saba,0,
360,01/07/2011,Hapoel Acre,0,
361,01/07/2011,Hapoel Ramat haSharon,0,
362,01/07/2011,Agudat Sport Ashdod,0,
363,01/07/2011,Hapoel Afula,0,
364,15/07/2011,Maccabi Haifa,13650000,25
365,15/07/2011,Maccabi Tel Aviv,13850000,28
366,15/07/2011,Hapoel Beer Sheva,5080000,33
367,15/07/2011,Maccabi Netanya,4150000,23
368,15/07/2011,FC Ashdod,4800000,29
369,15/07/2011,Beitar Jerusalem,6300000,26
370,15/07/2011,Hapoel Haifa,4050000,20
371,15/07/2011,Hapoel Tel Aviv,10900000,22
372,15/07/2011,Ironi Kiryat Shmona,2850000,23
373,15/07/2011,Hapoel Jerusalem,0,
374,15/07/2011,Maccabi Bnei Reineh,0,
375,15/07/2011,Hapoel Hadera,0,
376,15/07/2011,Ihud Bnei Sakhnin,4200000,25
377,15/07/2011,Sekzia Ness Ziona,650000,4
378,15/07/2011,Maccabi Petah Tikva,4230000,24
379,15/07/2011,Bnei Yehuda Tel Aviv,6250000,24
380,15/07/2011,Hapoel Nof HaGalil,0,4
381,15/07/2011,Hapoel Umm al-Fahm,75000,1
382,15/07/2011,Hapoel Ramat Gan,0,
383,15/07/2011,Hapoel Rishon leZion,700000,2
384,15/07/2011,Hapoel Petah Tikva,3680000,28
385,15/07/2011,Ironi Tiberias,0,
386,15/07/2011,SC Kfar Qasem,0,
387,15/07/2011,Hapoel Kfar Saba,50000,7
388,15/07/2011,Hapoel Acre,4150000,22
389,15/07/2011,Hapoel Ramat haSharon,250000,2
390,15/07/2011,Agudat Sport Ashdod,0,
391,15/07/2011,Hapoel Afula,0,
392,01/08/2011,Maccabi Haifa,13300000,23
393,01/08/2011,Maccabi Tel Aviv,13350000,30
394,01/08/2011,Hapoel Beer Sheva,4930000,32
395,01/08/2011,Maccabi Netanya,4150000,23
396,01/08/2011,FC Ashdod,4300000,28
397,01/08/2011,Beitar Jerusalem,6300000,26
398,01/08/2011,Hapoel Haifa,3550000,18
399,01/08/2011,Hapoel Tel Aviv,10930000,22
400,01/08/2011,Ironi Kiryat Shmona,2930000,22
401,01/08/2011,Hapoel Jerusalem,0,
402,01/08/2011,Maccabi Bnei Reineh,0,
403,01/08/2011,Hapoel Hadera,0,
404,01/08/2011,Ihud Bnei Sakhnin,3700000,24
405,01/08/2011,Sekzia Ness Ziona,450000,3
406,01/08/2011,Maccabi Petah Tikva,4230000,24
407,01/08/2011,Bnei Yehuda Tel Aviv,6250000,26
408,01/08/2011,Hapoel Nof HaGalil,0,4
409,01/08/2011,Hapoel Umm al-Fahm,75000,1
410,01/08/2011,Hapoel Ramat Gan,0,
411,01/08/2011,Hapoel Rishon leZion,975000,5
412,01/08/2011,Hapoel Petah Tikva,3530000,27
413,01/08/2011,Ironi Tiberias,0,
414,01/08/2011,SC Kfar Qasem,0,
415,01/08/2011,Hapoel Kfar Saba,50000,7
416,01/08/2011,Hapoel Acre,5050000,24
417,01/08/2011,Hapoel Ramat haSharon,1830000,9
418,01/08/2011,Agudat Sport Ashdod,0,
419,01/08/2011,Hapoel Afula,0,
420,15/08/2011,Maccabi Haifa,14800000,26
421,15/08/2011,Maccabi Tel Aviv,13350000,30
422,15/08/2011,Hapoel Beer Sheva,4930000,32
423,15/08/2011,Maccabi Netanya,3650000,22
424,15/08/2011,FC Ashdod,4300000,28
425,15/08/2011,Beitar Jerusalem,6100000,25
426,15/08/2011,Hapoel Haifa,3250000,17
427,15/08/2011,Hapoel Tel Aviv,10030000,21
428,15/08/2011,Ironi Kiryat Shmona,2930000,22
429,15/08/2011,Hapoel Jerusalem,0,
430,15/08/2011,Maccabi Bnei Reineh,0,
431,15/08/2011,Hapoel Hadera,0,
432,15/08/2011,Ihud Bnei Sakhnin,3300000,23
433,15/08/2011,Sekzia Ness Ziona,450000,3
434,15/08/2011,Maccabi Petah Tikva,4830000,25
435,15/08/2011,Bnei Yehuda Tel Aviv,6250000,26
436,15/08/2011,Hapoel Nof HaGalil,0,4
437,15/08/2011,Hapoel Umm al-Fahm,75000,1
438,15/08/2011,Hapoel Ramat Gan,0,
439,15/08/2011,Hapoel Rishon leZion,1130000,6
440,15/08/2011,Hapoel Petah Tikva,3530000,27
441,15/08/2011,Ironi Tiberias,0,
442,15/08/2011,SC Kfar Qasem,0,
443,15/08/2011,Hapoel Kfar Saba,250000,8
444,15/08/2011,Hapoel Acre,5050000,24
445,15/08/2011,Hapoel Ramat haSharon,1830000,9
446,15/08/2011,Agudat Sport Ashdod,0,
447,15/08/2011,Hapoel Afula,0,
448,01/09/2011,Maccabi Haifa,14150000,26
449,01/09/2011,Maccabi Tel Aviv,13300000,30
450,01/09/2011,Hapoel Beer Sheva,4930000,32
451,01/09/2011,Maccabi Netanya,3650000,22
452,01/09/2011,FC Ashdod,4150000,28
453,01/09/2011,Beitar Jerusalem,5750000,24
454,01/09/2011,Hapoel Haifa,3250000,17
455,01/09/2011,Hapoel Tel Aviv,12180000,25
456,01/09/2011,Ironi Kiryat Shmona,2930000,22
457,01/09/2011,Hapoel Jerusalem,0,
458,01/09/2011,Maccabi Bnei Reineh,0,
459,01/09/2011,Hapoel Hadera,0,
460,01/09/2011,Ihud Bnei Sakhnin,2750000,21
461,01/09/2011,Sekzia Ness Ziona,450000,3
462,01/09/2011,Maccabi Petah Tikva,5880000,28
463,01/09/2011,Bnei Yehuda Tel Aviv,6250000,26
464,01/09/2011,Hapoel Nof HaGalil,0,4
465,01/09/2011,Hapoel Umm al-Fahm,75000,1
466,01/09/2011,Hapoel Ramat Gan,0,
467,01/09/2011,Hapoel Rishon leZion,1130000,6
468,01/09/2011,Hapoel Petah Tikva,3480000,26
469,01/09/2011,Ironi Tiberias,0,
470,01/09/2011,SC Kfar Qasem,0,
471,01/09/2011,Hapoel Kfar Saba,250000,7
472,01/09/2011,Hapoel Acre,4650000,23
473,01/09/2011,Hapoel Ramat haSharon,1430000,8
474,01/09/2011,Agudat Sport Ashdod,0,
475,01/09/2011,Hapoel Afula,0,
476,15/09/2011,Maccabi Haifa,14650000,36
477,15/09/2011,Maccabi Tel Aviv,12850000,41
478,15/09/2011,Hapoel Beer Sheva,6680000,49
479,15/09/2011,Maccabi Netanya,4000000,38
480,15/09/2011,FC Ashdod,5000000,47
481,15/09/2011,Beitar Jerusalem,6450000,42
482,15/09/2011,Hapoel Haifa,3800000,38
483,15/09/2011,Hapoel Tel Aviv,11850000,41
484,15/09/2011,Ironi Kiryat Shmona,3500000,42
485,15/09/2011,Hapoel Jerusalem,0,
486,15/09/2011,Maccabi Bnei Reineh,0,
487,15/09/2011,Hapoel Hadera,0,
488,15/09/2011,Ihud Bnei Sakhnin,3600000,40
489,15/09/2011,Sekzia Ness Ziona,450000,3
490,15/09/2011,Maccabi Petah Tikva,5080000,44
491,15/09/2011,Bnei Yehuda Tel Aviv,7200000,38
492,15/09/2011,Hapoel Nof HaGalil,0,4
493,15/09/2011,Hapoel Umm al-Fahm,75000,1
494,15/09/2011,Hapoel Ramat Gan,0,
495,15/09/2011,Hapoel Rishon leZion,1380000,48
496,15/09/2011,Hapoel Petah Tikva,2930000,36
497,15/09/2011,Ironi Tiberias,0,
498,15/09/2011,SC Kfar Qasem,0,
499,15/09/2011,Hapoel Kfar Saba,200000,5
500,15/09/2011,Hapoel Acre,4100000,38
501,15/09/2011,Hapoel Ramat haSharon,1780000,45
502,15/09/2011,Agudat Sport Ashdod,0,
503,15/09/2011,Hapoel Afula,0,
504,01/10/2011,Maccabi Haifa,13950000,32
505,01/10/2011,Maccabi Tel Aviv,12850000,39
506,01/10/2011,Hapoel Beer Sheva,5430000,33
507,01/10/2011,Maccabi Netanya,3350000,35
508,01/10/2011,FC Ashdod,5250000,45
509,01/10/2011,Beitar Jerusalem,6000000,39
510,01/10/2011,Hapoel Haifa,4300000,35
511,01/10/2011,Hapoel Tel Aviv,11850000,34
512,01/10/2011,Ironi Kiryat Shmona,3430000,40
513,01/10/2011,Hapoel Jerusalem,0,
514,01/10/2011,Maccabi Bnei Reineh,0,
515,01/10/2011,Hapoel Hadera,0,
516,01/10/2011,Ihud Bnei Sakhnin,3200000,36
517,01/10/2011,Sekzia Ness Ziona,450000,3
518,01/10/2011,Maccabi Petah Tikva,5980000,48
519,01/10/2011,Bnei Yehuda Tel Aviv,7200000,36
520,01/10/2011,Hapoel Nof HaGalil,0,4
521,01/10/2011,Hapoel Umm al-Fahm,75000,1
522,01/10/2011,Hapoel Ramat Gan,0,
523,01/10/2011,Hapoel Rishon leZion,1280000,41
524,01/10/2011,Hapoel Petah Tikva,2780000,36
525,01/10/2011,Ironi Tiberias,0,
526,01/10/2011,SC Kfar Qasem,0,
527,01/10/2011,Hapoel Kfar Saba,0,4
528,01/10/2011,Hapoel Acre,4650000,37
529,01/10/2011,Hapoel Ramat haSharon,1800000,45
530,01/10/2011,Agudat Sport Ashdod,0,
531,01/10/2011,Hapoel Afula,0,
532,15/10/2011,Maccabi Haifa,13950000,30
533,15/10/2011,Maccabi Tel Aviv,12850000,39
