date,club,value,squad_s
20/06/2012,Maccabi Haifa,15400000,23
21/06/2012,Maccabi Haifa,15400000,23
22/06/2012,Maccabi Haifa,15400000,23
23/06/2012,Maccabi Haifa,15400000,23
24/06/2012,Maccabi Haifa,15400000,23
25/06/2012,Maccabi Haifa,15400000,23
26/06/2012,Maccabi Haifa,15400000,23
27/06/2012,Maccabi Haifa,15400000,23
28/06/2012,Maccabi Haifa,15400000,23
29/06/2012,Maccabi Haifa,15400000,23
30/06/2012,Maccabi Haifa,15400000,23
01/07/2012,Maccabi Haifa,15400000,23
02/07/2012,Maccabi Haifa,15400000,23
03/07/2012,Maccabi Haifa,15400000,23
04/07/2012,Maccabi Haifa,15400000,23
05/07/2012,Maccabi Haifa,15400000,23
06/07/2012,Maccabi Haifa,15400000,23
07/07/2012,Maccabi Haifa,15400000,23
08/07/2012,Maccabi Haifa,15400000,23
09/07/2012,Maccabi Haifa,15400000,23
10/07/2012,Maccabi Haifa,15400000,23
11/07/2012,Maccabi Haifa,15400000,23
12/07/2012,Maccabi Haifa,15400000,23
13/07/2012,Maccabi Haifa,15400000,23
14/07/2012,Maccabi Haifa,15400000,23
15/07/2012,Maccabi Haifa,15950000,25
16/07/2012,Maccabi Haifa,15950000,25
17/07/2012,Maccabi Haifa,15950000,25
18/07/2012,Maccabi Haifa,15950000,25
19/07/2012,Maccabi Haifa,15950000,25
20/07/2012,Maccabi Haifa,15950000,25
21/07/2012,Maccabi Haifa,15950000,25
22/07/2012,Maccabi Haifa,15950000,25
23/07/2012,Maccabi Haifa,15950000,25
24/07/2012,Maccabi Haifa,15950000,25
25/07/2012,Maccabi Haifa,15950000,25
26/07/2012,Maccabi Haifa,15950000,25
27/07/2012,Maccabi Haifa,15950000,25
28/07/2012,Maccabi Haifa,15950000,25
29/07/2012,Maccabi Haifa,15950000,25
30/07/2012,Maccabi Haifa,15950000,25
31/07/2012,Maccabi Haifa,15950000,25
01/08/2012,Maccabi Haifa,15950000,25
02/08/2012,Maccabi Haifa,15950000,25
03/08/2012,Maccabi Haifa,15950000,25
04/08/2012,Maccabi Haifa,15950000,25
05/08/2012,Maccabi Haifa,15950000,25
06/08/2012,Maccabi Haifa,15950000,25
07/08/2012,Maccabi Haifa,15950000,25
08/08/2012,Maccabi Haifa,15950000,25
09/08/2012,Maccabi Haifa,15950000,25
10/08/2012,Maccabi Haifa,15950000,25
11/08/2012,Maccabi Haifa,15950000,25
12/08/2012,Maccabi Haifa,15950000,25
13/08/2012,Maccabi Haifa,15950000,25
14/08/2012,Maccabi Haifa,15950000,25
15/08/2012,Maccabi Haifa,16150000,26
16/08/2012,Maccabi Haifa,16150000,26
17/08/2012,Maccabi Haifa,16150000,26
18/08/2012,Maccabi Haifa,16150000,26
19/08/2012,Maccabi Haifa,16150000,26
20/08/2012,Maccabi Haifa,16150000,26
21/08/2012,Maccabi Haifa,16150000,26
22/08/2012,Maccabi Haifa,16150000,26
23/08/2012,Maccabi Haifa,16150000,26
24/08/2012,Maccabi Haifa,16150000,26
25/08/2012,Maccabi Haifa,16150000,26
26/08/2012,Maccabi Haifa,16150000,26
27/08/2012,Maccabi Haifa,16150000,26
28/08/2012,Maccabi Haifa,16150000,26
29/08/2012,Maccabi Haifa,16150000,26
30/08/2012,Maccabi Haifa,16150000,26
31/08/2012,Maccabi Haifa,16150000,26
01/09/2012,Maccabi Haifa,14250000,23
02/09/2012,Maccabi Haifa,14250000,23
03/09/2012,Maccabi Haifa,14250000,23
04/09/2012,Maccabi Haifa,14250000,23
05/09/2012,Maccabi Haifa,14250000,23
06/09/2012,Maccabi Haifa,14250000,23
07/09/2012,Maccabi Haifa,14250000,23
08/09/2012,Maccabi Haifa,14250000,23
09/09/2012,Maccabi Haifa,14250000,23
10/09/2012,Maccabi Haifa,14250000,23
11/09/2012,Maccabi Haifa,14250000,23
12/09/2012,Maccabi Haifa,14250000,23
13/09/2012,Maccabi Haifa,14250000,23
14/09/2012,Maccabi Haifa,14250000,23
15/09/2012,Maccabi Haifa,14200000,24
16/09/2012,Maccabi Haifa,14200000,24
17/09/2012,Maccabi Haifa,14200000,24
18/09/2012,Maccabi Haifa,14200000,24
19/09/2012,Maccabi Haifa,14200000,24
20/09/2012,Maccabi Haifa,14200000,24
21/09/2012,Maccabi Haifa,14200000,24
22/09/2012,Maccabi Haifa,14200000,24
23/09/2012,Maccabi Haifa,14200000,24
24/09/2012,Maccabi Haifa,14200000,24
25/09/2012,Maccabi Haifa,14200000,24
26/09/2012,Maccabi Haifa,14200000,24
27/09/2012,Maccabi Haifa,14200000,24
28/09/2012,Maccabi Haifa,14200000,24
29/09/2012,Maccabi Haifa,14200000,24
30/09/2012,Maccabi Haifa,14200000,24
01/10/2012,Maccabi Haifa,13780000,23
02/10/2012,Maccabi Haifa,13780000,23
03/10/2012,Maccabi Haifa,13780000,23
04/10/2012,Maccabi Haifa,13780000,23
05/10/2012,Maccabi Haifa,13780000,23
06/10/2012,Maccabi Haifa,13780000,23
07/10/2012,Maccabi Haifa,13780000,23
08/10/2012,Maccabi Haifa,13780000,23
09/10/2012,Maccabi Haifa,13780000,23
10/10/2012,Maccabi Haifa,13780000,23
11/10/2012,Maccabi Haifa,13780000,23
12/10/2012,Maccabi Haifa,13780000,23
13/10/2012,Maccabi Haifa,13780000,23
14/10/2012,Maccabi Haifa,13780000,23
15/10/2012,Maccabi Haifa,14330000,26
16/10/2012,Maccabi Haifa,14330000,26
17/10/2012,Maccabi Haifa,14330000,26
18/10/2012,Maccabi Haifa,14330000,26
19/10/2012,Maccabi Haifa,14330000,26
20/10/2012,Maccabi Haifa,14330000,26
21/10/2012,Maccabi Haifa,14330000,26
22/10/2012,Maccabi Haifa,14330000,26
23/10/2012,Maccabi Haifa,14330000,26
24/10/2012,Maccabi Haifa,14330000,26
25/10/2012,Maccabi Haifa,14330000,26
26/10/2012,Maccabi Haifa,14330000,26
27/10/2012,Maccabi Haifa,14330000,26
28/10/2012,Maccabi Haifa,14330000,26
29/10/2012,Maccabi Haifa,14330000,26
30/10/2012,Maccabi Haifa,14330000,26
31/10/2012,Maccabi Haifa,14330000,26
01/11/2012,Maccabi Haifa,14330000,26
02/11/2012,Maccabi Haifa,14330000,26
03/11/2012,Maccabi Haifa,14330000,26
04/11/2012,Maccabi Haifa,14330000,26
05/11/2012,Maccabi Haifa,14330000,26
06/11/2012,Maccabi Haifa,14330000,26
07/11/2012,Maccabi Haifa,14330000,26
08/11/2012,Maccabi Haifa,14330000,26
09/11/2012,Maccabi Haifa,14330000,26
10/11/2012,Maccabi Haifa,14330000,26
11/11/2012,Maccabi Haifa,14330000,26
12/11/2012,Maccabi Haifa,14330000,26
13/11/2012,Maccabi Haifa,14330000,26
14/11/2012,Maccabi Haifa,14330000,26
15/11/2012,Maccabi Haifa,12980000,26
16/11/2012,Maccabi Haifa,12980000,26
17/11/2012,Maccabi Haifa,12980000,26
18/11/2012,Maccabi Haifa,12980000,26
19/11/2012,Maccabi Haifa,12980000,26
20/11/2012,Maccabi Haifa,12980000,26
21/11/2012,Maccabi Haifa,12980000,26
22/11/2012,Maccabi Haifa,12980000,26
23/11/2012,Maccabi Haifa,12980000,26
24/11/2012,Maccabi Haifa,12980000,26
25/11/2012,Maccabi Haifa,12980000,26
26/11/2012,Maccabi Haifa,12980000,26
27/11/2012,Maccabi Haifa,12980000,26
28/11/2012,Maccabi Haifa,12980000,26
29/11/2012,Maccabi Haifa,12980000,26
30/11/2012,Maccabi Haifa,12980000,26
01/12/2012,Maccabi Haifa,12900000,25
02/12/2012,Maccabi Haifa,12900000,25
03/12/2012,Maccabi Haifa,12900000,25
04/12/2012,Maccabi Haifa,12900000,25
05/12/2012,Maccabi Haifa,12900000,25
06/12/2012,Maccabi Haifa,12900000,25
07/12/2012,Maccabi Haifa,12900000,25
08/12/2012,Maccabi Haifa,12900000,25
09/12/2012,Maccabi Haifa,12900000,25
10/12/2012,Maccabi Haifa,12900000,25
11/12/2012,Maccabi Haifa,12900000,25
12/12/2012,Maccabi Haifa,12900000,25
13/12/2012,Maccabi Haifa,12900000,25
14/12/2012,Maccabi Haifa,12900000,25
15/12/2012,Maccabi Haifa,12900000,25
16/12/2012,Maccabi Haifa,12900000,25
17/12/2012,Maccabi Haifa,12900000,25
18/12/2012,Maccabi Haifa,12900000,25
19/12/2012,Maccabi Haifa,12900000,25
20/12/2012,Maccabi Haifa,12900000,25
21/12/2012,Maccabi Haifa,12900000,25
22/12/2012,Maccabi Haifa,12900000,25
23/12/2012,Maccabi Haifa,12900000,25
24/12/2012,Maccabi Haifa,12900000,25
25/12/2012,Maccabi Haifa,12900000,25
26/12/2012,Maccabi Haifa,12900000,25
27/12/2012,Maccabi Haifa,12900000,25
28/12/2012,Maccabi Haifa,12900000,25
29/12/2012,Maccabi Haifa,12900000,25
30/12/2012,Maccabi Haifa,12900000,25
31/12/2012,Maccabi Haifa,12900000,25
01/01/2013,Maccabi Haifa,13150000,26
02/01/2013,Maccabi Haifa,13150000,26
03/01/2013,Maccabi Haifa,13150000,26
04/01/2013,Maccabi Haifa,13150000,26
05/01/2013,Maccabi Haifa,13150000,26
06/01/2013,Maccabi Haifa,13150000,26
07/01/2013,Maccabi Haifa,13150000,26
08/01/2013,Maccabi Haifa,13150000,26
09/01/2013,Maccabi Haifa,13150000,26
10/01/2013,Maccabi Haifa,13150000,26
11/01/2013,Maccabi Haifa,13150000,26
12/01/2013,Maccabi Haifa,13150000,26
13/01/2013,Maccabi Haifa,13150000,26
14/01/2013,Maccabi Haifa,13150000,26
15/01/2013,Maccabi Haifa,13150000,27
16/01/2013,Maccabi Haifa,13150000,27
17/01/2013,Maccabi Haifa,13150000,27
18/01/2013,Maccabi Haifa,13150000,27
19/01/2013,Maccabi Haifa,13150000,27
20/01/2013,Maccabi Haifa,13150000,27
21/01/2013,Maccabi Haifa,13150000,27
22/01/2013,Maccabi Haifa,13150000,27
23/01/2013,Maccabi Haifa,13150000,27
24/01/2013,Maccabi Haifa,13150000,27
25/01/2013,Maccabi Haifa,13150000,27
26/01/2013,Maccabi Haifa,13150000,27
27/01/2013,Maccabi Haifa,13150000,27
28/01/2013,Maccabi Haifa,13150000,27
29/01/2013,Maccabi Haifa,13150000,27
30/01/2013,Maccabi Haifa,13150000,27
31/01/2013,Maccabi Haifa,13150000,27
01/02/2013,Maccabi Haifa,13150000,27
02/02/2013,Maccabi Haifa,13150000,27
03/02/2013,Maccabi Haifa,13150000,27
04/02/2013,Maccabi Haifa,13150000,27
05/02/2013,Maccabi Haifa,13150000,27
06/02/2013,Maccabi Haifa,13150000,27
07/02/2013,Maccabi Haifa,13150000,27
08/02/2013,Maccabi Haifa,13150000,27
09/02/2013,Maccabi Haifa,13150000,27
10/02/2013,Maccabi Haifa,13150000,27
11/02/2013,Maccabi Haifa,13150000,27
12/02/2013,Maccabi Haifa,13150000,27
13/02/2013,Maccabi Haifa,13150000,27
14/02/2013,Maccabi Haifa,13150000,27
15/02/2013,Maccabi Haifa,13150000,27
16/02/2013,Maccabi Haifa,13150000,27
17/02/2013,Maccabi Haifa,13150000,27
18/02/2013,Maccabi Haifa,13150000,27
19/02/2013,Maccabi Haifa,13150000,27
20/02/2013,Maccabi Haifa,13150000,27
21/02/2013,Maccabi Haifa,13150000,27
22/02/2013,Maccabi Haifa,13150000,27
23/02/2013,Maccabi Haifa,13150000,27
24/02/2013,Maccabi Haifa,13150000,27
25/02/2013,Maccabi Haifa,13150000,27
26/02/2013,Maccabi Haifa,13150000,27
27/02/2013,Maccabi Haifa,13150000,27
28/02/2013,Maccabi Haifa,13150000,27
01/03/2013,Maccabi Haifa,12700000,26
02/03/2013,Maccabi Haifa,12700000,26
03/03/2013,Maccabi Haifa,12700000,26
04/03/2013,Maccabi Haifa,12700000,26
05/03/2013,Maccabi Haifa,12700000,26
06/03/2013,Maccabi Haifa,12700000,26
07/03/2013,Maccabi Haifa,12700000,26
08/03/2013,Maccabi Haifa,12700000,26
09/03/2013,Maccabi Haifa,12700000,26
10/03/2013,Maccabi Haifa,12700000,26
11/03/2013,Maccabi Haifa,12700000,26
12/03/2013,Maccabi Haifa,12700000,26
13/03/2013,Maccabi Haifa,12700000,26
14/03/2013,Maccabi Haifa,12700000,26
15/03/2013,Maccabi Haifa,12700000,26
16/03/2013,Maccabi Haifa,12700000,26
17/03/2013,Maccabi Haifa,12700000,26
18/03/2013,Maccabi Haifa,12700000,26
19/03/2013,Maccabi Haifa,12700000,26
20/03/2013,Maccabi Haifa,12700000,26
21/03/2013,Maccabi Haifa,12700000,26
22/03/2013,Maccabi Haifa,12700000,26
23/03/2013,Maccabi Haifa,12700000,26
24/03/2013,Maccabi Haifa,12700000,26
25/03/2013,Maccabi Haifa,12700000,26
26/03/2013,Maccabi Haifa,12700000,26
27/03/2013,Maccabi Haifa,12700000,26
28/03/2013,Maccabi Haifa,12700000,26
29/03/2013,Maccabi Haifa,12700000,26
30/03/2013,Maccabi Haifa,12700000,26
31/03/2013,Maccabi Haifa,12700000,26
01/04/2013,Maccabi Haifa,12700000,26
02/04/2013,Maccabi Haifa,12700000,26
03/04/2013,Maccabi Haifa,12700000,26
04/04/2013,Maccabi Haifa,12700000,26
05/04/2013,Maccabi Haifa,12700000,26
06/04/2013,Maccabi Haifa,12700000,26
07/04/2013,Maccabi Haifa,12700000,26
08/04/2013,Maccabi Haifa,12700000,26
09/04/2013,Maccabi Haifa,12700000,26
10/04/2013,Maccabi Haifa,12700000,26
11/04/2013,Maccabi Haifa,12700000,26
12/04/2013,Maccabi Haifa,12700000,26
13/04/2013,Maccabi Haifa,12700000,26
14/04/2013,Maccabi Haifa,12700000,26
15/04/2013,Maccabi Haifa,12700000,26
16/04/2013,Maccabi Haifa,12700000,26
17/04/2013,Maccabi Haifa,12700000,26
18/04/2013,Maccabi Haifa,12700000,26
19/04/2013,Maccabi Haifa,12700000,26
20/04/2013,Maccabi Haifa,12700000,26
21/04/2013,Maccabi Haifa,12700000,26
22/04/2013,Maccabi Haifa,12700000,26
23/04/2013,Maccabi Haifa,12700000,26
24/04/2013,Maccabi Haifa,12700000,26
25/04/2013,Maccabi Haifa,12700000,26
26/04/2013,Maccabi Haifa,12700000,26
27/04/2013,Maccabi Haifa,12700000,26
28/04/2013,Maccabi Haifa,12700000,26
29/04/2013,Maccabi Haifa,12700000,26
30/04/2013,Maccabi Haifa,12700000,26
01/05/2013,Maccabi Haifa,12700000,26
02/05/2013,Maccabi Haifa,12700000,26
03/05/2013,Maccabi Haifa,12700000,26
04/05/2013,Maccabi Haifa,12700000,26
05/05/2013,Maccabi Haifa,12700000,26
06/05/2013,Maccabi Haifa,12700000,26
07/05/2013,Maccabi Haifa,12700000,26
08/05/2013,Maccabi Haifa,12700000,26
09/05/2013,Maccabi Haifa,12700000,26
10/05/2013,Maccabi Haifa,12700000,26
11/05/2013,Maccabi Haifa,12700000,26
12/05/2013,Maccabi Haifa,12700000,26
13/05/2013,Maccabi Haifa,12700000,26
14/05/2013,Maccabi Haifa,12700000,26
15/05/2013,Maccabi Haifa,12700000,26
16/05/2013,Maccabi Haifa,12700000,26
17/05/2013,Maccabi Haifa,12700000,26
18/05/2013,Maccabi Haifa,12700000,26
19/05/2013,Maccabi Haifa,12700000,26
20/05/2013,Maccabi Haifa,12700000,26
21/05/2013,Maccabi Haifa,12700000,26
22/05/2013,Maccabi Haifa,12700000,26
23/05/2013,Maccabi Haifa,12700000,26
24/05/2013,Maccabi Haifa,12700000,26
25/05/2013,Maccabi Haifa,12700000,26
26/05/2013,Maccabi Haifa,12700000,26
27/05/2013,Maccabi Haifa,12700000,26
28/05/2013,Maccabi Haifa,12700000,26
29/05/2013,Maccabi Haifa,12700000,26
30/05/2013,Maccabi Haifa,12700000,26
31/05/2013,Maccabi Haifa,12700000,26
01/06/2013,Maccabi Haifa,12700000,27
02/06/2013,Maccabi Haifa,12700000,27
03/06/2013,Maccabi Haifa,12700000,27
04/06/2013,Maccabi Haifa,12700000,27
05/06/2013,Maccabi Haifa,12700000,27
06/06/2013,Maccabi Haifa,12700000,27
07/06/2013,Maccabi Haifa,12700000,27
08/06/2013,Maccabi Haifa,12700000,27
09/06/2013,Maccabi Haifa,12700000,27
10/06/2013,Maccabi Haifa,12700000,27
11/06/2013,Maccabi Haifa,12700000,27
12/06/2013,Maccabi Haifa,12700000,27
13/06/2013,Maccabi Haifa,12700000,27
14/06/2013,Maccabi Haifa,12700000,27
15/06/2013,Maccabi Haifa,12700000,27
16/06/2013,Maccabi Haifa,12700000,27
17/06/2013,Maccabi Haifa,12700000,27
18/06/2013,Maccabi Haifa,12700000,27
19/06/2013,Maccabi Haifa,12700000,27
20/06/2013,Maccabi Haifa,12700000,27
21/06/2013,Maccabi Haifa,12700000,27
22/06/2013,Maccabi Haifa,12700000,27
23/06/2013,Maccabi Haifa,12700000,27
24/06/2013,Maccabi Haifa,12700000,27
25/06/2013,Maccabi Haifa,12700000,27
26/06/2013,Maccabi Haifa,12700000,27
27/06/2013,Maccabi Haifa,12700000,27
28/06/2013,Maccabi Haifa,12700000,27
29/06/2013,Maccabi Haifa,12700000,27
30/06/2013,Maccabi Haifa,12700000,27
01/07/2013,Maccabi Haifa,14150000,28
02/07/2013,Maccabi Haifa,14150000,28
03/07/2013,Maccabi Haifa,14150000,28
04/07/2013,Maccabi Haifa,14150000,28
05/07/2013,Maccabi Haifa,14150000,28
06/07/2013,Maccabi Haifa,14150000,28
07/07/2013,Maccabi Haifa,14150000,28
08/07/2013,Maccabi Haifa,14150000,28
09/07/2013,Maccabi Haifa,14150000,28
10/07/2013,Maccabi Haifa,14150000,28
11/07/2013,Maccabi Haifa,14150000,28
12/07/2013,Maccabi Haifa,14150000,28
13/07/2013,Maccabi Haifa,14150000,28
14/07/2013,Maccabi Haifa,14150000,28
15/07/2013,Maccabi Haifa,14900000,28
16/07/2013,Maccabi Haifa,14900000,28
17/07/2013,Maccabi Haifa,14900000,28
18/07/2013,Maccabi Haifa,14900000,28
19/07/2013,Maccabi Haifa,14900000,28
20/07/2013,Maccabi Haifa,14900000,28
21/07/2013,Maccabi Haifa,14900000,28
22/07/2013,Maccabi Haifa,14900000,28
23/07/2013,Maccabi Haifa,14900000,28
24/07/2013,Maccabi Haifa,14900000,28
25/07/2013,Maccabi Haifa,14900000,28
26/07/2013,Maccabi Haifa,14900000,28
27/07/2013,Maccabi Haifa,14900000,28
28/07/2013,Maccabi Haifa,14900000,28
29/07/2013,Maccabi Haifa,14900000,28
30/07/2013,Maccabi Haifa,14900000,28
31/07/2013,Maccabi Haifa,14900000,28
01/08/2013,Maccabi Haifa,14100000,26
02/08/2013,Maccabi Haifa,14100000,26
03/08/2013,Maccabi Haifa,14100000,26
04/08/2013,Maccabi Haifa,14100000,26
05/08/2013,Maccabi Haifa,14100000,26
06/08/2013,Maccabi Haifa,14100000,26
07/08/2013,Maccabi Haifa,14100000,26
08/08/2013,Maccabi Haifa,14100000,26
09/08/2013,Maccabi Haifa,14100000,26
10/08/2013,Maccabi Haifa,14100000,26
11/08/2013,Maccabi Haifa,14100000,26
12/08/2013,Maccabi Haifa,14100000,26
13/08/2013,Maccabi Haifa,14100000,26
14/08/2013,Maccabi Haifa,14100000,26
15/08/2013,Maccabi Haifa,14400000,27
16/08/2013,Maccabi Haifa,14400000,27
17/08/2013,Maccabi Haifa,14400000,27
18/08/2013,Maccabi Haifa,14400000,27
19/08/2013,Maccabi Haifa,14400000,27
20/08/2013,Maccabi Haifa,14400000,27
21/08/2013,Maccabi Haifa,14400000,27
22/08/2013,Maccabi Haifa,14400000,27
23/08/2013,Maccabi Haifa,14400000,27
24/08/2013,Maccabi Haifa,14400000,27
25/08/2013,Maccabi Haifa,14400000,27
26/08/2013,Maccabi Haifa,14400000,27
27/08/2013,Maccabi Haifa,14400000,27
28/08/2013,Maccabi Haifa,14400000,27
29/08/2013,Maccabi Haifa,14400000,27
